.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 44 0 1 0.020 0.030 -0.187 -3.618	2 0.196 0.211 -0.028 -4.233	R 54 1 3 0.319 0.342 -0.085 -7.732	4 -0.669 -0.623 -0.028 -16.365
L 45 0 1 0.012 0.024 -0.187 -4.347	2 0.196 0.208 -0.108 -4.444	R 55 1 3 0.316 0.340 -0.096 -7.618	4 -0.669 -0.623 -0.017 -16.497
L 46 0 1 0.004 0.018 -0.221 -4.822	2 0.191 0.204 -0.131 -4.725	R 55 1 3 0.316 0.338 -0.028 -7.741	4 -0.670 -0.622 -0.028 -16.532
L 47 0 1 -0.005 0.011 -0.289 -4.760	2 0.187 0.200 -0.142 -4.637	R 56 1 3 0.313 0.336 -0.051 -8.004	4 -0.670 -0.622 0.006 -16.673
L 47 0 1 -0.005 0.003 -0.289 -2.932	2 0.184 0.198 -0.085 -4.207	R 57 1 3 0.310 0.334 -0.131 -8.136	4 -0.670 -0.622 0.006 -16.884
L 48 0 1 -0.015 -0.005 -0.210 -3.521	2 0.184 0.196 -0.040 -4.338	R 58 1 3 0.307 0.332 -0.074 -7.864	4 -0.670 -0.622 0.006 -17.103
L 49 0 1 -0.025 -0.013 -0.301 -4.013	2 0.182 0.195 -0.028 -4.708	R 58 1 3 0.307 0.330 -0.028 -7.978	4 -0.671 -0.622 -0.028 -17.279
L 50 0 1 -0.035 -0.020 -0.312 -4.145	2 0.180 0.193 -0.051 -4.576	R 59 1 3 0.305 0.327 -0.085 -7.978	4 -0.671 -0.620 0.017 -17.640
L 50 0 1 -0.035 -0.028 -0.233 -2.598	2 0.179 0.191 -0.096 -4.136	R 60 1 3 0.302 0.324 -0.119 -7.908	4 -0.671 -0.620 -0.028 18.000
L 51 0 1 -0.046 -0.035 -0.210 -3.899	2 0.179 0.190 -0.051 -3.881	R 61 1 3 0.299 0.323 -0.085 -7.714	4 -0.672 -0.620 -0.017 17.789
L 52 0 1 -0.057 -0.043 -0.278 -4.497	2 0.178 0.189 -0.017 -4.004	R 61 1 3 0.299 0.321 -0.085 -7.574	4 -0.672 -0.620 -0.017 17.763
L 53 0 1 -0.068 -0.052 -0.392 -4.268	2 0.177 0.188 0.017 -4.031	R 62 1 3 0.296 0.319 -0.028 -8.259	4 -0.672 -0.620 -0.017 17.657
L 53 0 1 -0.068 -0.062 -0.289 -2.220	2 0.177 0.188 -0.051 -3.802	R 63 1 3 0.293 0.316 -0.131 -8.084	4 -0.673 -0.620 -0.028 17.376
L 54 0 1 -0.079 -0.070 -0.278 -3.073	2 0.177 0.188 0.028 -3.776	R 64 1 3 0.290 0.315 -0.074 -7.943	4 -0.673 -0.620 0.017 17.288
L 55 0 1 -0.090 -0.079 -0.289 -4.004	2 0.178 0.188 0.017 -3.626	R 64 1 3 0.290 0.313 -0.051 -7.925	4 -0.674 -0.620 -0.028 17.297
L 56 0 1 -0.102 -0.087 -0.323 -4.251	2 0.179 0.188 0.040 -3.345	R 65 1 3 0.288 0.311 -0.040 -8.462	4 -0.674 -0.620 -0.040 17.077
L 56 0 1 -0.102 -0.096 -0.255 -2.475	2 0.182 0.189 -0.006 -3.081	R 66 1 3 0.285 0.309 -0.108 -8.321	4 -0.674 -0.620 -0.028 16.813
L 57 0 1 -0.114 -0.104 -0.289 -3.389	2 0.182 0.191 0.040 -3.055	R 67 1 3 0.282 0.307 -0.062 -8.145	4 -0.675 -0.620 -0.017 16.673
L 58 0 1 -0.127 -0.115 -0.392 -4.084	2 0.185 0.193 0.153 -3.002	R 67 1 3 0.282 0.305 -0.096 -7.960	4 -0.676 -0.620 -0.017 16.725
L 59 0 1 -0.140 -0.125 -0.392 -4.048	2 0.190 0.197 0.153 -3.055	R 68 1 3 0.279 0.302 -0.051 -8.259	4 -0.676 -0.620 0.176 16.470
L 59 0 1 -0.140 -0.135 -0.335 -1.710	2 0.195 0.201 -0.006 -3.240	R 69 1 3 0.277 0.301 -0.074 -8.347	4 -0.677 -0.620 -0.028 16.198
L 60 0 1 -0.153 -0.144 -0.278 -2.932	2 0.195 0.205 0.119 -3.433	R 70 1 3 0.274 0.299 -0.108 -8.031	4 -0.677 -0.620 -0.017 16.004
L 61 0 1 -0.166 -0.154 -0.323 -4.233	2 0.202 0.211 0.267 -3.380	R 70 1 3 0.274 0.297 -0.085 -8.031	4 -0.678 -0.620 -0.017 15.969
L 62 0 1 -0.180 -0.162 -0.335 -4.857	2 0.210 0.217 0.176 -2.914	R 71 1 3 0.271 0.295 -0.040 -8.532	4 -0.678 -0.620 -0.017 15.670
L 62 0 1 -0.180 -0.171 -0.312 -2.853	2 0.219 0.221 0.040 -2.695	R 72 1 3 0.269 0.293 -0.108 -8.409	4 -0.679 -0.621 -0.028 15.442
L 63 0 1 -0.194 -0.181 -0.392 -4.251	2 0.219 0.229 0.335 -3.521	R 73 1 3 0.266 0.292 -0.074 -8.365	4 -0.680 -0.621 0.176 15.336
L 64 0 1 -0.208 -0.194 -0.448 -4.840	2 0.230 0.240 0.392 -4.040	R 73 1 3 0.266 0.290 -0.085 -8.409	4 -0.681 -0.622 -0.028 15.565
L 65 0 1 -0.223 -0.205 -0.403 -4.558	2 0.242 0.247 0.301 -2.413	R 74 1 3 0.264 0.288 -0.017 -8.831	4 -0.681 -0.622 -0.062 15.398
L 65 0 1 -0.223 -0.217 -0.380 -1.930	2 0.255 0.253 0.051 -2.018	R 75 1 3 0.261 0.286 -0.085 -8.611	4 -0.682 -0.623 -0.040 15.116
L 66 0 1 -0.237 -0.228 -0.380 -3.213	2 0.255 0.264 0.312 -3.486	R 76 1 3 0.258 0.285 -0.062 -8.629	4 -0.683 -0.624 -0.051 15.046
L 67 0 1 -0.252 -0.240 -0.460 -3.952	2 0.269 0.278 0.414 -2.967	R 76 1 3 0.258 0.283 -0.040 -8.664	4 -0.684 -0.624 -0.062 15.196
L 68 0 1 -0.267 -0.252 -0.358 -3.952	2 0.285 0.287 0.482 -1.640	R 77 1 3 0.256 0.281 -0.028 -8.980	4 -0.684 -0.624 -0.028 15.011
L 68 0 1 -0.267 -0.263 -0.392 -1.332	2 0.302 0.296 0.176 -1.754	R 78 1 3 0.253 0.279 -0.096 -8.848	4 -0.685 -0.625 -0.028 14.879
L 69 0 1 -0.283 -0.274 -0.460 -2.448	2 0.302 0.310 0.233 -2.809	R 79 1 3 0.251 0.278 -0.074 -8.866	4 -0.687 -0.627 -0.040 14.862
L 70 0 1 -0.298 -0.287 -0.448 -3.389	2 0.319 0.323 0.323 -1.578	R 79 1 3 0.251 0.276 -0.028 -8.910	4 -0.688 -0.628 -0.085 15.389
L 71 0 1 -0.313 -0.299 -0.403 -3.116	2 0.338 0.336 0.698 -0.233	R 80 1 3 0.249 0.274 0.028 -9.218	4 -0.688 -0.629 -0.085 15.486
L 71 0 1 -0.313 -0.313 -0.516 -0.040	2 0.358 0.347 0.199 -0.514	R 81 1 3 0.246 0.272 -0.153 -8.831	4 -0.689 -0.630 -0.051 15.160
L 72 0 1 -0.328 -0.325 -0.403 -0.840	2 0.358 0.362 0.221 -1.411	R 82 1 3 0.244 0.271 -0.028 -8.936	4 -0.690 -0.632 -0.062 15.284
L 73 0 1 -0.343 -0.337 -0.585 -0.989	2 0.378 0.378 0.596 0.365	R 82 1 3 0.244 0.268 -0.062 -8.945	4 -0.692 -0.632 -0.062 15.600
L 74 0 1 -0.358 -0.349 -0.289 -1.015	2 0.399 0.390 0.664 1.780	R 83 1 3 0.241 0.266 -0.062 -8.989	4 -0.692 -0.633 -0.062 15.407
L 74 0 1 -0.358 -0.362 -0.346 0.558	2 0.420 0.402 0.335 1.209	R 84 1 3 0.239 0.265 -0.142 -8.699	4 -0.693 -0.634 -0.017 15.231
L 75 0 1 -0.373 -0.374 -0.460 0.541	2 0.420 0.419 0.369 0.708	R 85 1 3 0.237 0.263 -0.040 -8.541	4 -0.694 -0.635 -0.096 15.152
L 76 0 1 -0.387 -0.389 -0.471 0.673	2 0.442 0.437 0.721 1.376	R 85 1 3 0.237 0.261 -0.062 -8.356	4 -0.696 -0.636 -0.040 15.398
L 77 0 1 -0.401 -0.400 -0.323 1.446	2 0.464 0.450 0.482 4.013	R 86 1 3 0.234 0.258 -0.051 -8.444	4 -0.696 -0.636 -0.017 15.160
L 77 0 1 -0.401 -0.411 -0.414 3.204	2 0.486 0.460 0.267 3.837	R 87 1 3 0.232 0.256 -0.119 -8.215	4 -0.697 -0.638 -0.062 14.870
L 78 0 1 -0.415 -0.422 -0.392 2.387	2 0.486 0.480 0.607 2.167	R 88 1 3 0.230 0.254 -0.051 -7.987	4 -0.699 -0.639 -0.085 14.949
L 79 0 1 -0.428 -0.433 -0.426 2.325	2 0.508 0.496 0.675 3.345	R 88 1 3 0.230 0.252 -0.051 -7.776	4 -0.701 -0.640 -0.062 15.275
L 80 0 1 -0.440 -0.443 -0.358 1.587	2 0.530 0.513 0.653 4.769	R 89 1 3 0.227 0.249 -0.006 -7.960	4 -0.701 -0.642 -0.131 15.354
L 80 0 1 -0.440 -0.453 -0.335 4.514	2 0.551 0.526 0.153 4.048	R 90 1 3 0.225 0.247 -0.119 -7.565	4 -0.702 -0.643 -0.074 15.222
L 81 0 1 -0.452 -0.459 -0.221 2.756	2 0.551 0.544 0.630 2.273	R 91 1 3 0.223 0.245 -0.096 -7.257	4 -0.704 -0.645 -0.074 15.354
L 82 0 1 -0.463 -0.467 -0.233 1.631	2 0.571 0.561 0.653 3.204	R 91 1 3 0.223 0.243 -0.085 -6.800	4 -0.706 -0.646 -0.062 15.732
L 83 0 1 -0.474 -0.475 -0.267 1.824	2 0.591 0.575 0.619 4.505	R 92 1 3 0.221 0.240 -0.040 -6.721	4 -0.706 -0.648 -0.062 15.767
L 83 0 1 -0.474 -0.483 -0.233 3.275	2 0.610 0.591 0.244 2.721	R 93 1 3 0.219 0.237 -0.187 -6.141	4 -0.707 -0.649 -0.051 15.653
L 84 0 1 -0.484 -0.488 -0.108 1.824	2 0.610 0.603 0.437 2.123	R 94 1 3 0.217 0.235 -0.119 -5.930	4 -0.709 -0.651 -0.085 15.697
L 85 0 1 -0.492 -0.495 -0.199 1.288	2 0.627 0.616 0.528 3.380	R 94 1 3 0.217 0.233 -0.096 -5.833	4 -0.711 -0.653 -0.085 16.295
L 86 0 1 -0.500 -0.503 -0.221 1.455	2 0.643 0.628 0.550 4.084	R 95 1 3 0.215 0.231 -0.062 -5.675	4 -0.711 -0.655 -0.074 16.338
L 86 0 1 -0.500 -0.508 -0.187 3.099	2 0.658 0.642 0.187 2.853	R 96 1 3 0.212 0.228 -0.119 -5.587	4 -0.713 -0.657 -0.085 16.295
L 87 0 1 -0.507 -0.513 -0.074 1.859	2 0.658 0.649 0.176 3.398	R 97 1 3 0.210 0.227 -0.074 -5.200	4 -0.715 -0.660 -0.085 16.488
L 88 0 1 -0.513 -0.513 -0.028 0.180	2 0.671 0.659 0.505 3.820	R 97 1 3 0.210 0.225 -0.085 -5.015	4 -0.717 -0.662 -0.142 17.543
L 89 0 1 -0.517 -0.514 -0.085 -0.743	2 0.683 0.666 0.301 5.253	R 98 1 3 0.208 0.223 -0.051 -5.209	4 -0.717 -0.666 -0.131 17.965
L 89 0 1 -0.517 -0.519 -0.131 0.242	2 0.693 0.672 -0.028 5.314	R 99 1 3 0.206 0.223 0.017 -5.736	4 -0.719 -0.670 -0.187 -16.954
L 90 0 1 -0.521 -0.518 0.017 -1.121	2 0.693 0.677 0.108 5.754	R 100 1 3 0.204 0.222 -0.017 -5.912	4 -0.721 -0.676 -0.233 -15.873
L 91 0 1 -0.523 -0.518 -0.006 -2.009	2 0.701 0.683 0.165 6.651	R 100 1 3 0.204 0.222 -0.006 -6.431	4 -0.723 -0.682 -0.210 -14.000
L 92 0 1 -0.525 -0.518 -0.028 -2.510	2 0.708 0.688 0.289 6.686	R 101 1 3 0.202 0.223 0.028 -7.160	4 -0.723 -0.687 -0.210 -12.514
L 92 0 1 -0.525 -0.518 -0.006 -2.475	2 0.713 0.692 0.040 6.352	R 102 1 3 0.200 0.223 0.006 -7.802	4 -0.725 -0.693 -0.187 -11.618
L 93 0 1 -0.525 -0.518 -0.006 -2.703	2 0.713 0.696 0.062 6.079	R 103 1 3 0.199 0.223 -0.006 -8.189	4 -0.727 -0.696 -0.165 -10.879
L 94 0 1 -0.525 -0.517 -0.006 -2.730	2 0.717 0.699 0.051 6.510	R 103 1 3 0.199 0.223 0.017 -8.514	4 -0.730 -0.698 -0.074 -10.484
L 95 0 1 -0.524 -0.517 0.051 -2.659	2 0.719 0.699 0.062 6.905	R 104 1 3 0.197 0.222 -0.028 -8.866	4 -0.730 -0.699 -0.040 -10.607
L 95 0 1 -0.524 -0.516 0.028 -3.064	2 0.721 0.699 -0.006 7.204	R 105 1 3 0.195 0.221 -0.040 -9.226	4 -0.732 -0.701 -0.051 -11.081
L 96 0 1 -0.522 -0.514 0.040 -2.791	2 0.721 0.699 -0.040 7.574	R 106 1 3 0.193 0.221 -0.040 -9.279	4 -0.734 -0.702 -0.074 -11.248
L 97 0 1 -0.519 -0.512 0.051 -2.484	2 0.721 0.699 -0.028 7.670	R 106 1 3 0.193 0.220 -0.028 -9.420	4 -0.737 -0.704 -0.096 -10.800
L 98 0 1 -0.516 -0.511 0.085 -2.044	2 0.720 0.699 -0.006 7.512	R 107 1 3 0.191 0.220 -0.028 -9.851	4 -0.737 -0.706 -0.108 -10.826
L 98 0 1 -0.516 -0.509 0.017 -2.484	2 0.719 0.698 -0.017 7.336	R 108 1 3 0.189 0.219 -0.028 -10.246	4 -0.739 -0.708 -0.096 -11.029
L 99 0 1 -0.512 -0.507 0.040 -1.930	2 0.719 0.698 0.006 7.169	R 109 1 3 0.188 0.218 -0.017 -10.316	4 -0.742 -0.710 -0.085 -11.240
L 0 1 1 -0.509 -0.505 0.074 -1.323	2 0.717 0.697 -0.028 6.835	R 109 1 3 0.188 0.217 -0.062 -10.299	4 -0.744 -0.711 -0.028 -10.949
L 1 1 1 -0.505 -0.504 0.096 -0.708	2 0.715 0.696 -0.028 6.501	R 110 1 3 0.186 0.216 -0.062 -10.325	4 -0.744 -0.711 0.006 -11.758
L 1 1 1 -0.505 -0.501 0.006 -1.288	2 0.713 0.701 0.108 4.892	R 111 1 3 0.184 0.212 -0.119 -9.736	4 -0.747 -0.711 -0.028 -12.470
L 2 1 1 -0.501 -0.499 -0.017 -0.558	2 0.713 0.702 0.119 3.679	R 112 1 3 0.183 0.211 -0.040 -9.560	4 -0.749 -0.713 -0.108 -12.629
L 3 1 1 -0.497 -0.498 0.062 0.435	2 0.711 0.703 -0.017 2.879	R 112 1 3 0.183 0.210 -0.028 -9.657	4 -0.752 -0.715 -0.074 -11.925
L 4 1 1 -0.493 -0.496 0.119 0.479	2 0.709 0.702 -0.028 2.387	R 113 1 3 0.181 0.210 0.028 -10.167	4 -0.752 -0.719 -0.062 -11.741
L 4 1 1 -0.493 -0.492 -0.006 -0.286	2 0.707 0.702 0.017 2.105	R 114 1 3 0.179 0.209 -0.040 -10.466	4 -0.755 -0.721 -0.051 -11.916
L 5 1 1 -0.489 -0.491 0.108 0.576	2 0.707 0.702 -0.006 1.815	R 115 1 3 0.178 0.208 -0.062 -10.273	4 -0.758 -0.723 -0.142 -12.022
L 6 1 1 -0.485 -0.487 0.074 0.796	2 0.706 0.702 -0.028 1.349	R 115 1 3 0.178 0.207 -0.006 -10.316	4 -0.760 -0.725 -0.131 -11.407
L 7 1 1 -0.481 -0.485 0.096 1.015	2 0.704 0.700 -0.074 1.297	R 116 1 3 0.176 0.207 -0.051 -10.545	4 -0.760 -0.728 -0.085 -11.521
L 7 1 1 -0.481 -0.483 0.108 0.549	2 0.702 0.700 -0.006 1.051	R 117 1 3 0.175 0.205 -0.074 -10.554	4 -0.763 -0.730 -0.051 -11.837
L 8 1 1 -0.477 -0.480 0.085 1.103	2 0.702 0.700 -0.006 0.804	R 118 1 3 0.173 0.204 -0.040 -10.475	4 -0.766 -0.732 -0.074 -11.969
L 9 1 1 -0.473 -0.479 0.040 1.710	2 0.701 0.699 -0.028 0.435	R 118 1 3 0.173 0.203 -0.028 -10.501	4 -0.769 -0.734 -0.062 -11.248
L 10 1 1 -0.469 -0.476 0.108 1.991	2 0.699 0.699 -0.051 0.207	R 119 1 3 0.172 0.202 -0.062 -10.659	4 -0.769 -0.736 -0.085 -11.512
L 10 1 1 -0.469 -0.473 0.085 1.332	2 0.697 0.698 -0.006 0.189	R 0 0 3 0.170 0.201 -0.028 -10.932	4 -0.772 -0.738 -0.062 -11.890
L 11 1 1 -0.465 -0.472 0.051 2.035	2 0.697 0.698 -0.006 -0.004	R 1 0 3 0.169 0.200 -0.028 -10.791	4 -0.775 -0.740 -0.108 -12.171
L 12 1 1 -0.462 -0.469 0.085 2.466	2 0.696 0.697 -0.028 -0.321	R 1 0 3 0.169 0.199 -0.062 -10.466	4 -0.778 -0.741 0.028 -12.242
L 13 1 1 -0.458 -0.467 0.108 2.809	2 0.694 0.695 -0.131 -0.145	R 2 0 3 0.168 0.195 -0.176 -9.736	4 -0.778 -0.739 0.108 -13.763
L 13 1 1 -0.458 -0.462 0.131 1.376	2 0.693 0.693 -0.142 0.400	R 3 0 3 0.166 0.191 -0.131 -8.646	4 -0.781 -0.737 0.108 -15.670
L 14 1 1 -0.454 -0.459 0.096 1.429	2 0.693 0.688 -0.199 1.719	R 4 0 3 0.165 0.187 -0.074 -7.670	4 -0.784 -0.735 0.051 -17.095
L 15 1 1 -0.450 -0.453 0.176 0.752	2 0.692 0.683 -0.199 3.354	R 4 0 3 0.165 0.184 -0.108 -6.853	4 -0.786 -0.734 0.040 -17.587
L 16 1 1 -0.447 -0.450 0.051 0.558	2 0.690 0.679 -0.096 4.066	R 5 0 3 0.163 0.182 -0.051 -6.695	4 -0.786 -0.734 -0.051 17.974
L 16 1 1 -0.447 -0.446 0.051 -0.215	2 0.689 0.678 -0.028 4.171	R 6 0 3 0.160 0.179 -0.096 -6.738	4 -0.786 -0.736 -0.108 -17.701
L 17 1 1 -0.443 -0.445 0.085 0.558	2 0.689 0.678 0.040 3.776	R 7 0 3 0.158 0.179 0.006 -6.949	4 -0.786 -0.739 -0.131 -16.356
L 18 1 1 -0.439 -0.442 0.221 0.629	2 0.688 0.678 -0.006 3.116	R 7 0 3 0.158 0.178 -0.051 -7.196	4 -0.784 -0.743 -0.119 -15.222
L 19 1 1 -0.436 -0.439 -0.006 0.813	2 0.687 0.678 -0.017 2.782	R 8 0 3 0.154 0.176 -0.051 -7.864	4 -0.784 -0.746 -0.051 -13.771
L 19 1 1 -0.436 -0.436 0.142 0.127	2 0.685 0.678 -0.017 2.668	R 9 0 3 0.150 0.175 -0.153 -8.110	4 -0.781 -0.746 -0.017 -12.505
L 20 1 1 -0.432 -0.432 0.085 0.092	2 0.685 0.677 -0.051 3.055	R 10 0 3 0.146 0.171 -0.119 -7.644	4 -0.776 -0.745 0.096 -11.459
L 21 1 1 -0.428 -0.429 0.221 0.022	2 0.684 0.674 -0.062 3.653	R 10 0 3 0.146 0.168 -0.096 -7.688	4 -0.770 -0.744 0.006 -11.327
L 22 1 1 -0.425 -0.426 0.131 -0.198	2 0.683 0.670 -0.131 4.409	R 11 0 3 0.141 0.164 -0.142 -8.022	4 -0.770 -0.741 0.028 -9.956
L 22 1 1 -0.425 -0.421 0.131 -1.323	2 0.682 0.667 -0.131 5.455	R 12 0 3 0.135 0.160 -0.187 -8.251	4 -0.761 -0.737 0.153 -8.716
L 23 1 1 -0.421 -0.418 0.131 -1.253	2 0.682 0.664 -0.176 6.448	R 13 0 3 0.128 0.155 -0.142 -8.127	4 -0.751 -0.733 0.301 -7.125
L 24 1 1 -0.418 -0.414 0.085 -1.288	2 0.681 0.660 -0.108 7.345	R 13 0 3 0.128 0.150 -0.119 -8.145	4 -0.739 -0.730 0.108 -7.547
L 25 1 1 -0.414 -0.410 0.153 -1.833	2 0.680 0.657 -0.153 8.251	R 14 0 3 0.121 0.145 -0.221 -8.787	4 -0.739 -0.723 0.062 -5.103
L 25 1 1 -0.414 -0.406 0.119 -3.073	2 0.679 0.653 -0.119 9.288	R 15 0 3 0.112 0.140 -0.255 -9.314	4 -0.725 -0.717 0.369 -3.037
L 26 1 1 -0.410 -0.403 0.062 -2.782	2 0.679 0.650 -0.142 10.334	R 16 0 3 0.104 0.133 -0.233 -8.004	4 -0.709 -0.714 0.119 0.031
L 27 1 1 -0.407 -0.400 0.096 -2.677	2 0.678 0.646 -0.096 11.125	R 16 0 3 0.104 0.120 -0.562 -5.024	4 -0.692 -0.703 0.426 -2.554
L 28 1 1 -0.403 -0.397 0.142 -2.835	2 0.677 0.643 -0.187 12.374	R 17 0 3 0.095 0.105 -0.505 -3.530	4 -0.692 -0.687 0.448 -1.552
L 28 1 1 -0.403 -0.393 0.085 -3.820	2 0.677 0.639 -0.096 13.332	R 18 0 3 0.085 0.093 -0.403 -2.404	4 -0.673 -0.682 0.539 1.754
L 29 1 1 -0.400 -0.390 0.051 -3.407	2 0.677 0.637 -0.085 13.789	R 19 0 3 0.075 0.085 -0.187 -1.209	4 -0.653 -0.668 0.675 3.108
L 30 1 1 -0.397 -0.389 0.006 -2.826	2 0.676 0.636 -0.006 13.886	R 19 0 3 0.075 0.075 -0.233 -0.435	4 -0.632 -0.651 0.312 -0.435
L 31 1 1 -0.393 -0.388 -0.028 -1.956	2 0.675 0.636 0.017 13.604	R 20 0 3 0.065 0.068 -0.221 -1.297	4 -0.632 -0.633 0.675 0.277
L 31 1 1 -0.393 -0.388 0.017 -2.044	2 0.674 0.637 0.006 13.270	R 21 0 3 0.054 0.065 -0.221 -2.756	4 -0.610 -0.620 0.721 1.982
L 32 1 1 -0.390 -0.388 -0.028 -0.778	2 0.674 0.638 0.062 12.840	R 22 0 3 0.044 0.059 -0.119 -3.073	4 -0.588 -0.602 0.732 2.985
L 33 1 1 -0.386 -0.387 -0.017 0.268	2 0.674 0.639 0.006 12.312	R 22 0 3 0.044 0.052 -0.244 -2.782	4 -0.565 -0.581 0.392 -2.079
L 34 1 1 -0.383 -0.387 0.028 1.138	2 0.673 0.638 -0.040 12.163	R 23 0 3 0.034 0.044 -0.289 -3.407	4 -0.565 -0.565 0.607 0.171
L 34 1 1 -0.383 -0.384 -0.062 0.444	2 0.673 0.637 -0.040 12.391	R 24 0 3 0.024 0.036 -0.312 -3.679	4 -0.541 -0.550 0.732 1.824
L 35 1 1 -0.379 -0.383 0.040 1.297	2 0.673 0.636 -0.017 12.813	R 25 0 3 0.014 0.028 -0.267 -2.809	4 -0.517 -0.533 0.585 3.688
L 36 1 1 -0.376 -0.382 -0.006 2.035	2 0.672 0.635 -0.062 13.059	R 25 0 3 0.014 0.018 -0.278 -1.763	4 -0.494 -0.515 0.403 -0.435
L 37 1 1 -0.373 -0.382 0.006 2.923	2 0.672 0.633 -0.062 13.358	R 26 0 3 0.004 0.009 -0.335 -1.631	4 -0.494 -0.494 0.766 0.224
L 37 1 1 -0.373 -0.381 0.028 2.835	2 0.671 0.633 -0.028 13.560	R 27 0 3 -0.005 0.002 -0.301 -1.842	4 -0.470 -0.480 0.721 2.088
L 38 1 1 -0.370 -0.381 -0.028 3.987	2 0.671 0.632 -0.006 13.657	R 28 0 3 -0.013 -0.002 -0.142 -1.727	4 -0.447 -0.463 0.800 3.662
L 39 1 1 -0.366 -0.381 0.006 5.086	2 0.671 0.632 -0.006 13.587	R 28 0 3 -0.013 -0.009 -0.165 -1.499	4 -0.424 -0.443 0.448 -0.866
L 40 1 1 -0.363 -0.381 -0.006 5.877	2 0.670 0.632 -0.006 13.508	R 29 0 3 -0.020 -0.014 -0.165 -2.299	4 -0.424 -0.424 0.721 0.154
L 40 1 1 -0.363 -0.380 0.051 6.000	2 0.670 0.632 -0.028 13.552	R 30 0 3 -0.027 -0.017 -0.165 -3.011	4 -0.402 -0.412 0.585 2.141
L 41 1 1 -0.360 -0.380 -0.006 6.967	2 0.670 0.631 0.017 13.692	R 31 0 3 -0.033 -0.021 -0.051 -3.187	4 -0.381 -0.395 0.641 3.257
L 42 1 1 -0.356 -0.379 -0.017 7.811	2 0.670 0.630 -0.040 13.798	R 31 0 3 -0.033 -0.026 -0.210 -2.457	4 -0.360 -0.379 0.323 -0.374
L 43 1 1 -0.353 -0.378 0.051 8.312	2 0.669 0.629 -0.051 14.220	R 32 0 3 -0.038 -0.033 -0.176 -2.070	4 -0.360 -0.360 0.675 0.198
L 43 1 1 -0.353 -0.377 0.040 8.084	2 0.669 0.627 -0.074 14.809	R 33 0 3 -0.042 -0.037 -0.165 -1.877	4 -0.341 -0.348 0.539 1.912
L 44 1 1 -0.350 -0.375 0.062 8.778	2 0.669 0.625 -0.062 15.371	R 34 0 3 -0.046 -0.039 -0.096 -1.754	4 -0.322 -0.338 0.482 3.925
L 45 1 1 -0.347 -0.373 0.051 9.235	2 0.669 0.624 -0.040 15.899	R 34 0 3 -0.046 -0.041 -0.085 -1.499	4 -0.305 -0.322 0.414 0.233
L 46 1 1 -0.344 -0.372 0.062 9.543	2 0.669 0.622 -0.040 16.277	R 35 0 3 -0.048 -0.043 -0.017 -1.895	4 -0.305 -0.305 0.539 0.365
L 46 1 1 -0.344 -0.371 -0.006 9.262	2 0.669 0.621 -0.017 16.690	R 36 0 3 -0.049 -0.042 -0.006 -2.246	4 -0.288 -0.296 0.482 1.938
L 47 1 1 -0.341 -0.368 0.051 9.824	2 0.669 0.620 -0.040 17.051	R 37 0 3 -0.049 -0.042 -0.028 -2.343	4 -0.273 -0.284 0.437 2.853
L 48 1 1 -0.337 -0.367 0.051 10.369	2 0.669 0.619 -0.017 17.314	R 37 0 3 -0.049 -0.043 -0.028 -2.246	4 -0.259 -0.273 0.278 -0.004
L 49 1 1 -0.334 -0.366 0.062 10.615	2 0.669 0.619 -0.051 17.613	R 38 0 3 -0.047 -0.043 -0.028 -1.789	4 -0.259 -0.262 0.278 1.059
L 49 1 1 -0.334 -0.364 0.051 10.290	2 0.669 0.618 0.006 17.771	R 39 0 3 -0.045 -0.042 0.074 -1.402	4 -0.246 -0.255 0.426 2.062
L 50 1 1 -0.331 -0.362 0.040 10.888	2 0.669 0.618 0.006 17.886	R 40 0 3 -0.042 -0.041 -0.006 -1.112	4 -0.235 -0.245 0.323 2.686
L 51 1 1 -0.328 -0.361 0.062 11.125	2 0.669 0.617 -0.028 -17.947	R 40 0 3 -0.042 -0.040 0.040 -0.664	4 -0.225 -0.236 0.199 0.409
L 52 1 1 -0.325 -0.358 0.108 11.213	2 0.669 0.617 -0.051 -17.666	R 41 0 3 -0.038 -0.039 0.017 -0.303	4 -0.225 -0.228 0.210 1.138
L 52 1 1 -0.325 -0.356 0.096 10.589	2 0.669 0.616 -0.040 -17.332	R 42 0 3 -0.033 -0.036 0.187 0.567	4 -0.216 -0.223 0.289 2.053
L 53 1 1 -0.322 -0.353 0.096 10.747	2 0.669 0.614 -0.028 -16.910	R 43 0 3 -0.027 -0.031 0.108 0.233	4 -0.208 -0.218 0.301 2.791
L 54 1 1 -0.319 -0.350 0.108 10.826	2 0.669 0.613 -0.062 -16.330	R 43 0 3 -0.027 -0.026 0.074 -0.048	4 -0.201 -0.211 0.142 0.980
L 55 1 1 -0.316 -0.348 0.096 10.905	2 0.669 0.612 -0.028 -16.031	R 44 0 3 -0.020 -0.019 0.289 -0.207	4 -0.201 -0.205 0.119 1.270
L 55 1 1 -0.316 -0.346 0.062 10.343	2 0.670 0.612 -0.051 -15.776	R 45 0 3 -0.012 -0.015 0.289 0.198	4 -0.196 -0.201 0.255 1.587
